notificationId,userId,title,message,sentAt,isRead
NOT-10000,USR-1014,Biosecurity Score Updated,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-14T00:00:00Z,True
NOT-10001,USR-1045,Inspection Scheduled,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-21T00:00:00Z,False
NOT-10002,USR-1047,Biosecurity Score Updated,AI analysis detected potential health risk in your livestock. Immediate attention required.,2026-08-24T00:00:00Z,True
NOT-10003,USR-1040,Vaccination Completed,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-05T00:00:00Z,False
NOT-10004,USR-1027,New Veterinarian Assigned,Your compliance certificate has been issued for this quarter.,2026-08-02T00:00:00Z,False
NOT-10005,USR-1029,Farm Registration Approved,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-15T00:00:00Z,False
NOT-10006,USR-1077,Inspection Scheduled,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-21T00:00:00Z,True
NOT-10007,USR-1071,Government Advisory Issued,Vaccination campaign completed successfully. Records updated.,2026-08-08T00:00:00Z,True
NOT-10008,USR-1073,Emergency Alert,Your monthly health report is ready for download.,2026-08-06T00:00:00Z,False
NOT-10009,USR-1040,AI Health Alert,A farm inspection has been scheduled for next week. Please ensure all records are ready.,2026-08-21T00:00:00Z,True
NOT-10010,USR-1102,New Veterinarian Assigned,A new veterinarian has been assigned to your farm. Contact details shared.,2026-08-26T00:00:00Z,False
NOT-10011,USR-1053,Disease Alert in Your District,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-13T00:00:00Z,True
NOT-10012,USR-1076,AI Health Alert,Your compliance certificate has been issued for this quarter.,2026-08-15T00:00:00Z,True
NOT-10013,USR-1073,Vaccination Due Reminder,A new government advisory has been issued for your district. Please review immediately.,2026-08-27T00:00:00Z,True
NOT-10014,USR-1059,Government Advisory Issued,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-01T00:00:00Z,False
NOT-10015,USR-1004,Farm Registration Approved,Your farm registration has been approved. Welcome to BioSecure Farm.,2026-08-26T00:00:00Z,False
NOT-10016,USR-1082,Vaccination Due Reminder,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-12T00:00:00Z,True
NOT-10017,USR-1102,Report Ready for Download,Vaccination campaign completed successfully. Records updated.,2026-08-18T00:00:00Z,False
NOT-10018,USR-1040,AI Health Alert,Your monthly health report is ready for download.,2026-08-25T00:00:00Z,False
NOT-10019,USR-1063,Compliance Certificate Issued,Your vaccination for Newcastle Disease is due in 7 days. Please contact your assigned veterinarian.,2026-08-15T00:00:00Z,False
NOT-10020,USR-1089,New Veterinarian Assigned,A new veterinarian has been assigned to your farm. Contact details shared.,2026-07-31T00:00:00Z,True
NOT-10021,USR-1047,Compliance Certificate Issued,A disease outbreak has been reported in your district. Please follow biosecurity protocols.,2026-08-27T00:00:00Z,True
NOT-10022,USR-1006,Vaccination Due Reminder,Your farm biosecurity score has been updated. Check the latest assessment.,2026-08-24T00:00:00Z,False
